aicapabilities/domain.go	قدرات الذكاء الاصطناعي المساعدة: اكتشاف الأعمدة، مطابقة المنتجات، توسيع كلمات البحث.
aicapabilities/enhance.go	رقم إصدار سؤال التحسين، وبيدخل في مفتاح الكاش عشان تغيير السؤال يلغي الإجابات القديمة.
aicapabilities/enhance_decode.go	قراءة رد الموديل حتى لو جه ملفوف في markdown أو فيه كلام زيادة.
aicapabilities/enhance_prompt.go	نص التعليمات الموجه للموديل في مطابقة الصفوف الغامضة، ومرقم بإصدار.
aicapabilities/service.go	خدمة القدرات: بتجيب مفتاح المنشأة وتبعت السؤال للبوابة.
assistant/access.go	حدود ما تقدر أدوات المساعد ترجعه في المرة الواحدة (25 صف) وقواعد الوصول.
assistant/access_stage3.go	أنواع القراءات الثابتة الآمنة اللي المساعد يقدر يطلبها. الكود هو اللي بيختار الاستعلام مش الموديل.
assistant/actions/actions.go	طريقة المساعد في تغيير البيانات: بيقترح بس، والمستخدم هو اللي بيأكد. الموديل عمره ما بينفذ لوحده.
assistant/actions/args.go	التحقق من معطيات الإجراء: الأرقام في نطاقها والمعرفات حقيقية.
assistant/actions/flow.go	دورة حياة الاقتراح (معلق، قيد التنفيذ، اتنفذ، ملغي، منتهي) والقناة اللي اتعمل منها (الويب، تيليجرام، واتساب).
assistant/agent.go	شخصيات المساعد لكل لوحة (صيدلية، مورد، إدارة) ومين مسموح له يستخدمه.
assistant/attachments.go	التحقق من المرفقات: النوع الحقيقي، البصمة، تنظيف اسم الملف.
assistant/context.go	حساب ميزانية السياق المرسل للموديل بدون عداد tokens، مع مراعاة تكلفة العربي.
assistant/coverage.go	سؤال التغطية: مين من الموردين بيوصل لفرع الشراء.
assistant/datasets/datasets.go	محرك الاستعلامات المحكوم للمساعد: الموديل بيطلب بيانات بأسماء معروفة والمحرك بيبني الاستعلام بأمان.
assistant/datasets/catalog.go	تعريف مجموعات البيانات المتاحة للمساعد.
assistant/datasets/catalog_admin.go	مجموعات بيانات لوحة الإدارة.
assistant/datasets/catalog_buying.go	مجموعات بيانات الشراء المشتركة بين الصيدلية والمورد.
assistant/datasets/catalog_vendor.go	مجموعات بيانات لوحة المورد.
assistant/datasets/compile.go	تحويل طلب الموديل لاستعلام SQL آمن بتوقيت القاهرة.
assistant/datasets/query.go	شكل سؤال الموديل عن مجموعة بيانات.
assistant/datasets/result.go	شكل نتيجة الاستعلام للموديل ولملف التصدير.
assistant/domain.go	نماذج المحادثات والرسائل والمرفقات.
assistant/entities.go	السجلات اللي ليها صفحة في لوحة التحكم وتظهر كروابط في رد المساعد.
assistant/entities_rows.go	تحويل الصفوف لروابط قابلة للفتح.
assistant/errors.go	أكواد أخطاء ثابتة للمساعد بتتفرع عليها الواجهة.
assistant/evals/evals.go	مقياس جودة المساعد: أسئلة مرجعية بإجابات متوقعة لقياس أي تغيير بالأرقام.
assistant/evals/corpus_admin.jsonl	أسئلة التقييم الخاصة بالإدارة.
assistant/evals/corpus_pharmacy.jsonl	أسئلة التقييم الخاصة بالصيدلية.
assistant/evals/corpus_vendor.jsonl	أسئلة التقييم الخاصة بالمورد.
assistant/exports.go	ملفات Excel اللي المساعد بيصدرها ومدة صلاحية تحميلها.
assistant/handles/handles.go	معرفات مشفرة بتتدي للموديل بدل أرقام قاعدة البيانات عشان ما يقدرش يخمن سجلات غيره.
assistant/http/actions.go	تأكيد أو إلغاء اقتراح من الويب.
assistant/http/attachment_reader.go	قراءة المرفق مرة واحدة بموديل منفصل بدون أدوات.
assistant/http/attachments.go	التأكد إن المرفقات المشار لها ملك المستخدم فعلًا.
assistant/http/conversations.go	قائمة محادثات المستخدم وفتحها وحذفها.
assistant/http/emitter.go	كتابة أحداث الرد في مخزن دائم عشان الرد يكمل حتى لو المتصفح اتقفل.
assistant/http/exports.go	تحميل ملف تصدير بالرمز.
assistant/http/handler.go	معالج واجهة المساعد وإعداداته.
assistant/http/limiter.go	حد عدد الأسئلة لكل مستخدم في الدقيقة، ومشترك مع تيليجرام وواتساب.
assistant/http/memories.go	ذاكرة المساعد الدائمة للمنشأة.
assistant/http/turns.go	إرسال سؤال وبث الرد.
assistant/http/upload.go	رفع وتحميل مرفقات المساعد بحد حجم.
assistant/imageprep.go	تصغير الصور قبل إرسالها للموديل.
assistant/offers.go	أسئلة العروض القابلة للشراء لفرع معين.
assistant/postgres/actions.go	تخزين الاقتراحات المعلقة وحجزها وإنهاؤها.
assistant/postgres/audit.go	عرض كل المحادثات للإدارة للتدقيق.
assistant/postgres/blobs.go	تخزين محتوى المرفقات.
assistant/postgres/conversations.go	قراءة المحادثة لصاحبها بس.
assistant/postgres/datasets.go	تنفيذ استعلامات المساعد بدور قاعدة بيانات بيقرا بس (migration 214).
assistant/postgres/entities.go	تخزين روابط السجلات مع الرسالة.
assistant/postgres/exports.go	تخزين ملفات التصدير. الرمز بيتخزن مشفر بس.
assistant/postgres/memories.go	تخزين ذاكرة المساعد.
assistant/postgres/read.go	قراءات أساسية للأدوات مع رفض لو مفيش منشأة.
assistant/postgres/read_admin.go	أرقام نظرة عامة للإدارة.
assistant/postgres/read_stage3.go	توزيع القراءات على استعلامات ثابتة يحددها الكود.
assistant/postgres/read_stage3_admin.go	استعلامات قراءة للإدارة ومنها صحة الطوابير.
assistant/postgres/read_stage3_pharmacy.go	استعلامات قراءة للصيدلية.
assistant/postgres/read_stage3_pharmacy_ext.go	استعلامات قراءة إضافية للصيدلية.
assistant/postgres/read_stage3_vendor.go	استعلامات قراءة للمورد.
assistant/postgres/read_stage3_vendor_ext.go	استعلامات قراءة إضافية للمورد.
assistant/postgres/repository.go	تخزين المحادثات والرسائل.
assistant/postgres/support.go	عمليات التنظيف العابرة للمنشآت.
assistant/postgres/turns.go	تخزين كل دور سؤال وجواب واستدعاءات الأدوات.
assistant/prompt.go	تعليمات النظام للمساعد برقم إصدار.
assistant/repository.go	تعريف تخزين المساعد.
assistant/service_actions.go	تأكيد وإلغاء الاقتراحات مع إعادة التحقق الكامل وقت التأكيد.
assistant/service_entities.go	ربط السجلات المذكورة في الرد بصفحاتها.
